书名,原书名,作者,翻译,出版社,丛书,出版日期,ISBN,页数,定价,标签,阅读状态,豆瓣评分,豆瓣评论人数,豆瓣地址
六朝贵族制社会研究,,川胜义雄 , 徐谷梵、李济沧 , 上海古籍出版社,日本中国史研究译丛, 2008-01,9787532548378,328, 49.00元, 历史 日本 川胜义雄 六朝,想读,9.1,328,https://book.douban.com/subject/2382863/
魏晋南北朝史十二讲,,周一良 ,, 中华书局,大家讲史（典藏本）, 2016-5,9787101117202,238, 45.00元, 周一良 魏晋南北朝 历史,想读,8.3,25,https://book.douban.com/subject/27001329/
魏晋南北朝史札记,,周一良 ,, 中华书局,现代史学家文丛, 1985-3-1,9787101057737,494, 34.00元, 魏晋南北朝 历史 周一良,想读,9.1,390,https://book.douban.com/subject/2255277/
六朝贵族制社会研究,,[日] 川胜义雄 , 徐谷芃、李济沧 , 上海古籍出版社,海外汉学丛书, 2018-11,9787532589357,332,68, 魏晋南北朝史 川胜义雄 日本汉学 历史,想读,9.7,27,https://book.douban.com/subject/30265569/
西汉政区地理,,周振鹤 ,, 商务印书馆,, 2017-5,9787100128988,174, 68.00元, 周振鹤 历史地理学 历史 地理,想读,9.5,16,https://book.douban.com/subject/27056341/
中国古代思想史论,,李泽厚 ,, 生活·读书·新知三联书店,当代学术, 2017-5,9787108058751,303,65, 思想史 李泽厚 哲学 中国 历史,想读,9.7,57,https://book.douban.com/subject/27072851/
从爵本位到官本位: 秦汉官僚品位结构研究,,阎步克 ,, 生活·读书·新知三联书店,当代学术, 2017-3,9787108059048,521,78, 秦汉史 古代史 阎步克 制度史,想读,8.6,66,https://book.douban.com/subject/26992824/
拓跋史探: 修订本,,田余庆 ,, 生活·读书·新知三联书店,当代学术, 2019-1,9787108063960,300, 69.00元, 魏晋南北朝 田余庆 鲜卑 南北朝史 中国古代史 历史,想读,9.9,75,https://book.douban.com/subject/30302919/
国史讲话：上古: 上古,,顾颉刚 , 世纪文景, 世纪文景/上海人民出版社,国史讲话, 2015-7,9787208129900,220, 36.00元, 国史讲话 顾颉刚 中国历史 上古 普及类 历史,想读,8.3,200,https://book.douban.com/subject/26437087/
权力与繁荣,,(美) 曼瑟·奥尔森 (Mancur Olson) , 苏长和、嵇飞 , 上海人民出版社,, 2018-1,9787208146877,220,49, 曼瑟.奥尔森 政治经济学 社会,想读,8.7,40,https://book.douban.com/subject/27091788/
府兵制度考释: 现代史学家文丛,,谷霁光 ,, 中华书局,现代史学家文丛, 2011-7,9787101079555,339, 32.00元, 魏晋南北朝史 魏晋南北朝 隋唐史 府兵制 谷霽光,想读,8.3,48,https://book.douban.com/subject/6784453/
